normalized_stock_code,observed_stock_code,row_count,distinct_description_count,missing_description_rows,min_description,max_description,first_seen,last_seen
72803B,72803b,1,1,0,OCEAN SCENT CANDLE JEWELLED DRAWER,OCEAN SCENT CANDLE JEWELLED DRAWER,2010-12-03 11:28:00,2010-12-03 11:28:00
72807A,72807A,117,5,0,???missing,wet pallet,2010-12-01 14:32:00,2011-11-25 10:49:00
72807A,72807a,5,1,0,SET/3 ROSE CANDLE IN JEWELLED BOX,SET/3 ROSE CANDLE IN JEWELLED BOX,2011-01-18 16:05:00,2011-11-25 15:23:00
72807B,72807B,116,4,0,????missing,wet pallet,2010-12-01 14:32:00,2011-11-24 12:45:00
72807B,72807b,4,1,0,SET/3 OCEAN SCENT CANDLE JEWEL BOX,SET/3 OCEAN SCENT CANDLE JEWEL BOX,2011-02-02 12:16:00,2011-04-15 10:37:00
72807C,72807C,170,4,0,???missing,wet pallet,2010-12-01 14:32:00,2011-12-01 09:34:00
72807C,72807c,5,1,0,SET/3 VANILLA SCENTED CANDLE IN BOX,SET/3 VANILLA SCENTED CANDLE IN BOX,2011-07-08 13:54:00,2011-11-23 11:11:00
79066K,79066K,149,1,0,RETRO MOD TRAY,RETRO MOD TRAY,2010-12-01 14:41:00,2011-12-09 11:34:00
79066K,79066k,10,1,0,RETRO MOD TRAY,RETRO MOD TRAY,2010-12-09 16:26:00,2011-11-20 13:58:00
82001S,82001S,132,2,0,SILVER RECORD COVER FRAME,VINYL RECORD FRAME SILVER,2010-12-03 11:36:00,2011-12-08 09:20:00
82001S,82001s,27,2,0,SILVER RECORD COVER FRAME,VINYL RECORD FRAME SILVER,2011-02-09 12:59:00,2011-12-09 10:26:00
82494L,82494L,939,3,3,WOODEN FRAME ANTIQUE WHITE,crushed ctn,2010-12-01 09:02:00,2011-12-08 19:55:00
82494L,82494l,61,1,0,WOODEN FRAME ANTIQUE WHITE,WOODEN FRAME ANTIQUE WHITE,2010-12-03 14:27:00,2011-12-08 10:53:00
82613A,82613A,19,2,0,Amazon,"METAL SIGN,CUPCAKE SINGLE HOOK",2010-12-20 16:50:00,2011-10-25 14:25:00
82613A,82613a,1,1,0,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK",2011-06-08 15:26:00,2011-06-08 15:26:00
82613B,82613B,113,1,1,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK",2010-12-01 14:32:00,2011-12-06 14:23:00
82613B,82613b,4,1,0,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK",2010-12-21 15:19:00,2011-07-08 13:54:00
82613C,82613C,97,1,0,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK",2010-12-01 14:32:00,2011-12-02 16:39:00
82613C,82613c,4,1,0,"METAL SIGN,CUPCAKE SINGLE HOOK","METAL SIGN,CUPCAKE SINGLE HOOK",2010-12-21 15:19:00,2011-10-26 14:42:00
84030E,84030E,338,1,0,ENGLISH ROSE HOT WATER BOTTLE,ENGLISH ROSE HOT WATER BOTTLE,2010-12-01 10:19:00,2011-12-08 19:24:00
84030E,84030e,44,1,0,ENGLISH ROSE HOT WATER BOTTLE,ENGLISH ROSE HOT WATER BOTTLE,2010-12-03 14:27:00,2011-12-08 11:21:00
84031A,84031A,166,1,0,CHARLIE+LOLA RED HOT WATER BOTTLE,CHARLIE+LOLA RED HOT WATER BOTTLE,2010-12-01 14:32:00,2011-12-09 11:20:00
84031A,84031a,1,1,0,CHARLIE+LOLA RED HOT WATER BOTTLE,CHARLIE+LOLA RED HOT WATER BOTTLE,2011-10-31 14:41:00,2011-10-31 14:41:00
84031B,84031B,146,1,0,CHARLIE LOLA BLUE HOT WATER BOTTLE,CHARLIE LOLA BLUE HOT WATER BOTTLE,2010-12-01 14:32:00,2011-12-09 11:20:00
84031B,84031b,1,1,0,CHARLIE LOLA BLUE HOT WATER BOTTLE,CHARLIE LOLA BLUE HOT WATER BOTTLE,2011-10-31 14:41:00,2011-10-31 14:41:00
84509A,84509A,233,1,0,SET OF 4 ENGLISH ROSE PLACEMATS,SET OF 4 ENGLISH ROSE PLACEMATS,2010-12-01 11:21:00,2011-12-08 16:30:00
84509A,84509a,68,1,0,SET OF 4 ENGLISH ROSE PLACEMATS,SET OF 4 ENGLISH ROSE PLACEMATS,2011-02-04 13:03:00,2011-12-09 10:26:00
84509B,84509B,80,1,0,SET OF 4 FAIRY CAKE PLACEMATS,SET OF 4 FAIRY CAKE PLACEMATS,2010-12-01 15:08:00,2011-12-08 20:01:00
84509B,84509b,4,1,0,SET OF 4 FAIRY CAKE PLACEMATS,SET OF 4 FAIRY CAKE PLACEMATS,2011-02-02 12:17:00,2011-11-13 11:50:00
84509C,84509C,51,1,0,SET OF 4 POLKADOT PLACEMATS,SET OF 4 POLKADOT PLACEMATS,2010-12-06 16:57:00,2011-12-05 17:24:00
84509C,84509c,27,1,0,SET OF 4 POLKADOT PLACEMATS,SET OF 4 POLKADOT PLACEMATS,2010-12-03 11:28:00,2011-12-05 11:58:00
84509G,84509G,66,1,0,SET OF 4 FAIRY CAKE PLACEMATS,SET OF 4 FAIRY CAKE PLACEMATS,2010-12-02 12:16:00,2011-12-08 15:54:00
84509G,84509g,2,1,0,SET OF 4 FAIRY CAKE PLACEMATS,SET OF 4 FAIRY CAKE PLACEMATS,2011-05-10 15:04:00,2011-05-10 15:07:00
84510A,84510A,242,1,0,SET OF 4 ENGLISH ROSE COASTERS,SET OF 4 ENGLISH ROSE COASTERS,2010-12-01 11:21:00,2011-12-09 08:48:00
84510A,84510a,40,1,0,SET OF 4 ENGLISH ROSE COASTERS,SET OF 4 ENGLISH ROSE COASTERS,2010-12-09 16:27:00,2011-06-28 11:53:00
84510C,84510C,54,1,0,SET OF 4 POLKADOT COASTERS,SET OF 4 POLKADOT COASTERS,2010-12-06 16:57:00,2011-12-05 17:24:00
84510C,84510c,23,1,0,SET OF 4 POLKADOT COASTERS,SET OF 4 POLKADOT COASTERS,2010-12-07 15:34:00,2011-12-05 11:48:00
84510E,84510E,16,1,0,SET OF 4 GREEN CAROUSEL COASTERS,SET OF 4 GREEN CAROUSEL COASTERS,2010-12-10 09:51:00,2011-12-06 12:12:00
84510E,84510e,1,1,0,SET OF 4 GREEN CAROUSEL COASTERS,SET OF 4 GREEN CAROUSEL COASTERS,2011-04-15 10:41:00,2011-04-15 10:41:00
84534B,84534B,14,1,4,FAIRY CAKE NOTEBOOK A5 SIZE,FAIRY CAKE NOTEBOOK A5 SIZE,2010-12-01 14:32:00,2011-03-29 10:22:00
84534B,84534b,2,1,0,FAIRY CAKE NOTEBOOK A5 SIZE,FAIRY CAKE NOTEBOOK A5 SIZE,2010-12-03 11:28:00,2010-12-21 15:23:00
84536A,84536A,346,1,0,ENGLISH ROSE NOTEBOOK A7 SIZE,ENGLISH ROSE NOTEBOOK A7 SIZE,2010-12-01 14:32:00,2011-12-08 15:03:00
84536A,84536a,4,1,0,ENGLISH ROSE NOTEBOOK A7 SIZE,ENGLISH ROSE NOTEBOOK A7 SIZE,2011-02-08 12:13:00,2011-11-20 13:58:00
84536B,84536B,181,1,0,FAIRY CAKES NOTEBOOK A7 SIZE,FAIRY CAKES NOTEBOOK A7 SIZE,2010-12-01 14:32:00,2011-12-06 16:26:00
84536B,84536b,1,1,0,FAIRY CAKES NOTEBOOK A7 SIZE,FAIRY CAKES NOTEBOOK A7 SIZE,2010-12-09 16:26:00,2010-12-09 16:26:00
84558A,84558A,82,1,0,3D DOG PICTURE PLAYING CARDS,3D DOG PICTURE PLAYING CARDS,2010-12-01 12:31:00,2011-12-05 11:49:00
84558A,84558a,5,1,0,3D DOG PICTURE PLAYING CARDS,3D DOG PICTURE PLAYING CARDS,2010-12-07 15:34:00,2011-12-09 10:26:00
84559A,84559A,94,1,0,3D SHEET OF DOG STICKERS,3D SHEET OF DOG STICKERS,2010-12-01 17:06:00,2011-12-09 10:03:00
84559A,84559a,22,1,0,3D SHEET OF DOG STICKERS,3D SHEET OF DOG STICKERS,2010-12-03 11:28:00,2011-06-27 09:12:00
84559B,84559B,58,1,1,3D SHEET OF CAT STICKERS,3D SHEET OF CAT STICKERS,2010-12-01 17:06:00,2011-11-02 13:50:00
84559B,84559b,20,1,0,3D SHEET OF CAT STICKERS,3D SHEET OF CAT STICKERS,2010-12-07 15:33:00,2011-09-20 14:46:00
84596B,84596B,530,1,0,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,2010-12-06 12:23:00,2011-12-09 10:03:00
84596B,84596b,5,1,0,SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL DOLLY MIX DESIGN ORANGE BOWL,2010-12-07 15:34:00,2010-12-21 15:20:00
84596E,84596E,81,1,2,SMALL LICORICE DES PINK BOWL,SMALL LICORICE DES PINK BOWL,2010-12-01 12:43:00,2011-04-01 12:32:00
84596E,84596e,6,1,0,SMALL LICORICE DES PINK BOWL,SMALL LICORICE DES PINK BOWL,2010-12-03 11:28:00,2010-12-14 15:56:00
84596F,84596F,445,1,0,SMALL MARSHMALLOWS PINK BOWL,SMALL MARSHMALLOWS PINK BOWL,2010-12-05 15:15:00,2011-12-09 10:03:00
84596F,84596f,12,1,0,SMALL MARSHMALLOWS PINK BOWL,SMALL MARSHMALLOWS PINK BOWL,2011-02-17 10:31:00,2011-12-05 11:48:00
84596G,84596G,249,2,1,??,SMALL CHOCOLATES PINK BOWL,2010-12-05 12:13:00,2011-12-08 15:31:00
84596G,84596g,1,1,0,SMALL CHOCOLATES PINK BOWL,SMALL CHOCOLATES PINK BOWL,2011-02-17 10:34:00,2011-02-17 10:34:00
84596L,84596L,173,1,1,BISCUITS SMALL BOWL LIGHT BLUE,BISCUITS SMALL BOWL LIGHT BLUE,2010-12-05 15:15:00,2011-09-18 12:21:00
84596L,84596l,1,1,0,BISCUITS SMALL BOWL LIGHT BLUE,BISCUITS SMALL BOWL LIGHT BLUE,2011-05-26 10:44:00,2011-05-26 10:44:00
84660A,84660A,47,2,2,WHITE STITCHED WALL CLOCK,damaged,2010-12-14 12:59:00,2011-10-03 16:46:00
84660A,84660a,2,1,0,WHITE STITCHED WALL CLOCK,WHITE STITCHED WALL CLOCK,2011-06-02 11:02:00,2011-06-21 16:36:00
84660B,84660B,40,1,0,BLACK STITCHED WALL CLOCK,BLACK STITCHED WALL CLOCK,2010-12-12 13:56:00,2011-09-01 14:26:00
84660B,84660b,2,1,0,BLACK STITCHED WALL CLOCK,BLACK STITCHED WALL CLOCK,2010-12-09 16:31:00,2011-09-07 12:44:00
84660C,84660C,47,1,2,PINK STITCHED WALL CLOCK,PINK STITCHED WALL CLOCK,2010-12-03 11:36:00,2011-09-08 16:14:00
84660C,84660c,16,1,0,PINK STITCHED WALL CLOCK,PINK STITCHED WALL CLOCK,2010-12-07 15:33:00,2011-08-11 10:14:00
84661A,84661A,20,1,0,WHITE SQUARE TABLE CLOCK,WHITE SQUARE TABLE CLOCK,2011-01-06 14:27:00,2011-12-08 09:28:00
84661A,84661a,1,1,0,WHITE SQUARE TABLE CLOCK,WHITE SQUARE TABLE CLOCK,2011-05-17 15:37:00,2011-05-17 15:37:00
84661B,84661B,29,1,0,BLACK SQUARE TABLE CLOCK,BLACK SQUARE TABLE CLOCK,2010-12-03 11:36:00,2011-12-08 09:28:00
84661B,84661b,1,1,0,BLACK SQUARE TABLE CLOCK,BLACK SQUARE TABLE CLOCK,2011-10-17 09:55:00,2011-10-17 09:55:00
84795B,84795B,48,1,0,SUNSET CHECK HAMMOCK,SUNSET CHECK HAMMOCK,2010-12-05 16:41:00,2011-11-08 09:07:00
84795B,84795b,14,1,0,SUNSET CHECK HAMMOCK,SUNSET CHECK HAMMOCK,2010-12-21 15:19:00,2011-11-30 14:11:00
84796A,84796A,43,1,0,PINK HAWAIIAN PICNIC HAMPER FOR 2,PINK HAWAIIAN PICNIC HAMPER FOR 2,2011-02-21 18:10:00,2011-12-02 14:26:00
84796A,84796a,12,1,0,PINK HAWAIIAN PICNIC HAMPER FOR 2,PINK HAWAIIAN PICNIC HAMPER FOR 2,2010-12-14 15:52:00,2011-08-24 09:36:00
84872A,84872A,36,1,2,TEATIME FUNKY FLOWER BACKPACK FOR 2,TEATIME FUNKY FLOWER BACKPACK FOR 2,2010-12-22 14:41:00,2011-07-26 13:57:00
84872A,84872a,21,1,0,TEATIME FUNKY FLOWER BACKPACK FOR 2,TEATIME FUNKY FLOWER BACKPACK FOR 2,2010-12-03 11:13:00,2011-04-26 09:50:00
84884A,84884A,79,1,0,ANT WHITE WIRE HEART SPIRAL,ANT WHITE WIRE HEART SPIRAL,2010-12-01 14:54:00,2011-12-06 16:26:00
84884A,84884a,26,1,0,ANT WHITE WIRE HEART SPIRAL,ANT WHITE WIRE HEART SPIRAL,2010-12-03 11:28:00,2011-12-07 10:35:00
84968A,84968A,102,1,0,SET OF 16 VINTAGE ROSE CUTLERY,SET OF 16 VINTAGE ROSE CUTLERY,2010-12-05 14:02:00,2011-12-04 15:13:00
84968A,84968a,3,1,0,SET OF 16 VINTAGE ROSE CUTLERY,SET OF 16 VINTAGE ROSE CUTLERY,2010-12-09 16:26:00,2011-10-31 13:48:00
84968D,84968D,56,1,0,SET OF 16 VINTAGE RED CUTLERY,SET OF 16 VINTAGE RED CUTLERY,2010-12-07 14:31:00,2011-12-08 09:20:00
84968D,84968d,3,1,0,SET OF 16 VINTAGE RED CUTLERY,SET OF 16 VINTAGE RED CUTLERY,2011-02-04 09:11:00,2011-10-04 10:14:00
84968E,84968E,47,2,0,SET OF 16 VINTAGE BLACK CUTLERY,check,2010-12-06 15:36:00,2011-12-07 14:34:00
84968E,84968e,6,1,0,SET OF 16 VINTAGE BLACK CUTLERY,SET OF 16 VINTAGE BLACK CUTLERY,2010-12-09 16:27:00,2011-12-09 10:26:00
84968F,84968F,66,2,0,SET OF 16 VINTAGE SKY BLUE CUTLERY,check,2010-12-06 10:36:00,2011-11-13 11:37:00
84968F,84968f,1,1,0,SET OF 16 VINTAGE SKY BLUE CUTLERY,SET OF 16 VINTAGE SKY BLUE CUTLERY,2010-12-21 15:20:00,2010-12-21 15:20:00
84970L,84970L,459,1,0,SINGLE HEART ZINC T-LIGHT HOLDER,SINGLE HEART ZINC T-LIGHT HOLDER,2010-12-01 11:41:00,2011-12-09 08:59:00
84970L,84970l,50,1,0,SINGLE HEART ZINC T-LIGHT HOLDER,SINGLE HEART ZINC T-LIGHT HOLDER,2010-12-03 11:13:00,2011-12-07 10:35:00
84970S,84970S,543,1,0,HANGING HEART ZINC T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,2010-12-01 10:19:00,2011-12-09 10:03:00
84970S,84970s,66,1,0,HANGING HEART ZINC T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,2010-12-03 11:13:00,2011-12-09 10:26:00
84971L,84971L,1,0,1,NULL,NULL,2011-11-24 10:36:00,2011-11-24 10:36:00
84971L,84971l,1,1,0,LARGE HEART FLOWERS HOOK,LARGE HEART FLOWERS HOOK,2011-11-25 15:23:00,2011-11-25 15:23:00
84989A,84989A,19,1,2,75 GREEN FAIRY CAKE CASES,75 GREEN FAIRY CAKE CASES,2011-01-05 12:15:00,2011-12-05 14:40:00
84989A,84989a,25,1,0,75 GREEN FAIRY CAKE CASES,75 GREEN FAIRY CAKE CASES,2010-12-07 15:31:00,2011-08-24 10:22:00
84993A,84993A,55,1,0,75 GREEN PETIT FOUR CASES,75 GREEN PETIT FOUR CASES,2010-12-03 11:35:00,2011-12-09 12:20:00
84993A,84993a,19,1,0,75 GREEN PETIT FOUR CASES,75 GREEN PETIT FOUR CASES,2011-02-02 12:16:00,2011-12-05 11:58:00
84997A,84997A,263,2,0,CHILDRENS CUTLERY POLKADOT GREEN,GREEN 3 PIECE POLKADOT CUTLERY SET,2010-12-01 16:49:00,2011-12-09 10:03:00
84997A,84997a,65,2,0,CHILDRENS CUTLERY POLKADOT GREEN,GREEN 3 PIECE POLKADOT CUTLERY SET,2011-01-26 16:01:00,2011-12-09 10:26:00
84997B,84997B,377,2,0,CHILDRENS CUTLERY RETROSPOT RED,RED 3 PIECE RETROSPOT CUTLERY SET,2010-12-01 09:37:00,2011-12-09 12:16:00
84997B,84997b,70,2,0,CHILDRENS CUTLERY RETROSPOT RED,RED 3 PIECE RETROSPOT CUTLERY SET,2010-12-03 14:27:00,2011-12-09 10:26:00
84997C,84997C,338,3,0,?,CHILDRENS CUTLERY POLKADOT BLUE,2010-12-01 09:37:00,2011-12-09 12:16:00
84997C,84997c,66,2,0,BLUE 3 PIECE POLKADOT CUTLERY SET,CHILDRENS CUTLERY POLKADOT BLUE,2010-12-03 14:27:00,2011-12-09 10:23:00
84997D,84997D,479,2,0,CHILDRENS CUTLERY POLKADOT PINK,PINK 3 PIECE POLKADOT CUTLERY SET,2010-12-01 12:49:00,2011-12-09 12:16:00
84997D,84997d,75,2,0,CHILDRENS CUTLERY POLKADOT PINK,PINK 3 PIECE POLKADOT CUTLERY SET,2010-12-03 14:27:00,2011-12-09 10:26:00
85014A,85014A,279,1,0,BLACK/BLUE POLKADOT UMBRELLA,BLACK/BLUE POLKADOT UMBRELLA,2010-12-01 10:03:00,2011-12-06 12:38:00
85014A,85014a,14,1,0,BLACK/BLUE POLKADOT UMBRELLA,BLACK/BLUE POLKADOT UMBRELLA,2010-12-03 11:28:00,2011-11-29 11:23:00
85014B,85014B,352,1,0,RED RETROSPOT UMBRELLA,RED RETROSPOT UMBRELLA,2010-12-01 10:03:00,2011-12-09 10:03:00
85014B,85014b,23,1,0,RED RETROSPOT UMBRELLA,RED RETROSPOT UMBRELLA,2010-12-03 11:28:00,2011-12-08 10:53:00
85034A,85034A,85,3,0,3 GARDENIA MORRIS BOXED CANDLES,damaged,2010-12-01 17:35:00,2011-11-25 09:37:00
85034A,85034a,3,1,0,3 GARDENIA MORRIS BOXED CANDLES,3 GARDENIA MORRIS BOXED CANDLES,2011-05-23 14:19:00,2011-11-08 15:24:00
85034B,85034B,122,1,0,3 WHITE CHOC MORRIS BOXED CANDLES,3 WHITE CHOC MORRIS BOXED CANDLES,2010-12-05 10:52:00,2011-12-08 12:26:00
85034B,85034b,1,1,0,3 WHITE CHOC MORRIS BOXED CANDLES,3 WHITE CHOC MORRIS BOXED CANDLES,2011-11-25 15:23:00,2011-11-25 15:23:00
85035A,85035A,88,2,0,CHECK,GARDENIA 3 WICK MORRIS BOXED CANDLE,2010-12-02 11:45:00,2011-10-31 11:55:00
85035A,85035a,2,1,0,GARDENIA 3 WICK MORRIS BOXED CANDLE,GARDENIA 3 WICK MORRIS BOXED CANDLE,2010-12-09 16:27:00,2010-12-21 15:21:00
85035B,85035B,71,2,0,CHOCOLATE 3 WICK MORRIS BOX CANDLE,check,2010-12-01 12:49:00,2011-10-31 11:48:00
85035B,85035b,1,1,0,CHOCOLATE 3 WICK MORRIS BOX CANDLE,CHOCOLATE 3 WICK MORRIS BOX CANDLE,2010-12-21 15:20:00,2010-12-21 15:20:00
85035C,85035C,135,2,0,ROSE 3 WICK MORRIS BOX CANDLE,check,2010-12-01 17:35:00,2011-11-27 14:40:00
85035C,85035c,1,1,0,ROSE 3 WICK MORRIS BOX CANDLE,ROSE 3 WICK MORRIS BOX CANDLE,2010-12-07 15:34:00,2010-12-07 15:34:00
