sales_value_rank,stock_code,product_description,sales_value,sales_quantity,sales_value_contribution_pct
114,84997C,CHILDRENS CUTLERY POLKADOT BLUE,16340.190,3949,0.169632
115,23240,SET OF 4 KNICK KNACK TINS DOILY,16305.610,4009,0.169273
116,22835,HOT WATER BOTTLE I AM SO POORLY,16223.880,3156,0.168425
117,84978,HANGING HEART JAR T-LIGHT HOLDER,16190.940,12285,0.168083
118,84078A,SET/4 WHITE RETRO STORAGE CUBES,16185.160,411,0.168023
119,82583,HOT BATHS METAL SIGN,16133.420,6948,0.167485
120,22865,HAND WARMER OWL DESIGN,16032.120,7628,0.166434
121,20719,WOODLAND CHARLOTTE BAG,15882.100,12771,0.164876
122,22993,SET OF 4 PANTRY JELLY MOULDS,15839.850,12147,0.164438
123,22624,IVORY KITCHEN SCALES,15696.720,1814,0.162952
124,21232,STRAWBERRY CERAMIC TRINKET BOX,15454.600,11272,0.160438
125,22379,RECYCLING BAG RETROSPOT,15221.500,6746,0.158019
126,22084,PAPER CHAIN KIT EMPIRE,15066.920,5170,0.156414
127,23301,GARDENERS KNEELING PAD KEEP CALM,14676.430,8107,0.15236
128,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14656.520,3039,0.152153
129,22900,SET 2 TEA TOWELS I LOVE LONDON,14444.080,4768,0.149948
130,82483,WOOD 2 DRAWER CABINET WHITE FINISH,14371.980,2274,0.149199
131,85152,HAND OVER THE CHOCOLATE   SIGN,14163.480,7365,0.147035
132,22847,BREAD BIN DINER STYLE IVORY,14058.950,886,0.14595
133,23313,VINTAGE CHRISTMAS BUNTING,14045.210,2655,0.145807
134,48184,DOORMAT ENGLISH ROSE,13931.710,1987,0.144629
135,23200,JUMBO BAG PEARS,13914.760,6947,0.144453
136,22507,MEMO BOARD RETROSPOT  DESIGN,13869.930,2910,0.143988
137,22625,RED KITCHEN SCALES,13601.620,1568,0.141202
138,22752,SET 7 BABUSHKA NESTING BOXES,13554.320,1598,0.140711
139,22622,BOX OF VINTAGE ALPHABET BLOCKS,13470.620,1302,0.139842
140,22083,PAPER CHAIN KIT RETROSPOT,13462.370,4435,0.139757
141,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13434.840,53584,0.139471
142,21930,JUMBO STORAGE BAG SKULLS,13387.910,6140,0.138984
143,20971,PINK BLUE FELT CRAFT TRINKET BOX,13369.940,10613,0.138797
144,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13272.180,1755,0.137782
145,21524,DOORMAT SPOTTY HOME SWEET HOME,13241.030,1713,0.137459
146,22551,PLASTERS IN TIN SPACEBOY,13194.080,7827,0.136971
147,22866,HAND WARMER SCOTTY DOG DESIGN,13142.620,6044,0.136437
148,23207,LUNCH BAG ALPHABET DESIGN,13110.150,7717,0.1361
149,23077,DOUGHNUT LIP GLOSS,13001.090,9847,0.134968
150,22554,PLASTERS IN TIN WOODLAND ANIMALS,12996.820,7622,0.134924
151,47566B,TEA TIME PARTY BUNTING,12921.470,2577,0.134141
152,22558,CLOTHES PEGS RETROSPOT PACK 24,12859.530,8386,0.133498
153,22776,SWEETHEART CAKESTAND 3 TIER,12749.830,1221,0.132359
154,22427,ENAMEL FLOWER JUG CREAM,12647.260,2106,0.131295
155,22499,WOODEN UNION JACK BUNTING,12639.020,2068,0.131209
156,23108,SET OF 10 LED DOLLY LIGHTS,12592.170,2092,0.130723
157,22867,HAND WARMER BIRD DESIGN,12516.010,5686,0.129932
158,23356,LOVE HOT WATER BOTTLE,12426.200,2210,0.129
159,22149,FELTCRAFT 6 FLOWER FRIENDS,12357.080,6070,0.128282
160,22568,FELTCRAFT CUSHION OWL,12323.890,3349,0.127938
161,23343,JUMBO BAG VINTAGE CHRISTMAS,12263.320,5301,0.127309
162,20750,RED RETROSPOT MINI CASES,12255.220,1699,0.127225
163,21755,LOVE BUILDING BLOCK WORD,12198.520,1977,0.126636
164,22113,GREY HEART HOT WATER BOTTLE,12163.620,3093,0.126274
165,22941,CHRISTMAS LIGHTS 10 REINDEER,12135.990,1490,0.125987
166,23174,REGENCY SUGAR BOWL GREEN,12126.730,3013,0.125891
167,22607,WOODEN ROUNDERS GARDEN SET,12121.750,1285,0.125839
168,48188,DOORMAT WELCOME PUPPIES,12098.770,2063,0.125601
169,47590B,PINK HAPPY BIRTHDAY BUNTING,12087.060,2319,0.125479
170,21977,PACK OF 60 PINK PAISLEY CAKE CASES,12082.790,24586,0.125435
171,22424,ENAMEL BREAD BIN CREAM,11992.900,852,0.124502
172,82600,NO SINGING METAL SIGN,11967.250,5619,0.124235
173,21790,VINTAGE SNAP CARDS,11921.220,13854,0.123757
174,22273,FELTCRAFT DOLL MOLLY,11789.850,4443,0.122394
175,20723,STRAWBERRY CHARLOTTE BAG,11774.830,9436,0.122238
176,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,11747.020,2531,0.121949
177,22087,PAPER BUNTING WHITE LACE,11736.880,4036,0.121844
178,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11689.170,2994,0.121348
179,22191,IVORY DINER WALL CLOCK,11657.390,1417,0.121019
180,22188,BLACK HEART CARD HOLDER,11605.860,4518,0.120484
181,20749,ASSORTED COLOUR MINI CASES,11558.940,1613,0.119997
182,21936,RED RETROSPOT PICNIC BAG,11530.370,3947,0.1197
183,22158,3 HEARTS HANGING DECORATION RUSTIC,11416.540,3281,0.118518
184,22692,DOORMAT WELCOME TO OUR HOME,11332.290,1501,0.117644
185,22193,RED DINER WALL CLOCK,11310.560,1340,0.117418
186,22570,FELTCRAFT CUSHION RABBIT,11204.970,3086,0.116322
187,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11134.200,2085,0.115587
188,22041,"RECORD FRAME 7"" SINGLE SIZE",11134.020,4317,0.115585
189,21080,SET/20 RED RETROSPOT PAPER NAPKINS,11119.900,12968,0.115439
190,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11096.560,960,0.115196
191,20711,JUMBO BAG TOYS,11010.490,5006,0.114303
192,21217,RED RETROSPOT ROUND CAKE TINS,11009.300,1046,0.114291
193,23300,GARDENERS KNEELING PAD CUP OF TEA,10967.420,6368,0.113856
194,22730,ALARM CLOCK BAKELIKE IVORY,10953.340,2773,0.11371
195,22662,LUNCH BAG DOLLY GIRL DESIGN,10934.630,6637,0.113515
196,22605,WOODEN CROQUET GARDEN SET,10901.120,759,0.113168
197,22356,CHARLOTTE BAG PINK POLKADOT,10886.540,9450,0.113016
198,85014B,RED RETROSPOT UMBRELLA,10856.580,1867,0.112705
199,23170,REGENCY TEA PLATE ROSES,10839.870,6727,0.112532
200,71459,HANGING JAM JAR T-LIGHT HOLDER,10754.290,13501,0.111643
201,21481,FAWN BLUE HOT WATER BOTTLE,10678.200,3118,0.110853
202,47590A,BLUE HAPPY BIRTHDAY BUNTING,10448.370,1984,0.108467
203,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10354.490,16237,0.107493
204,22988,SOLDIERS EGG CUP,10336.690,8640,0.107308
205,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10325.800,1304,0.107195
206,22846,BREAD BIN DINER STYLE RED,10227.850,640,0.106178
207,48173C,DOORMAT BLACK FLOCK,10188.320,1807,0.105768
208,23581,JUMBO BAG PAISLEY PARK,10188.060,4331,0.105765
209,22617,BAKING SET SPACEBOY DESIGN,10173.800,2102,0.105617
210,84997A,CHILDRENS CUTLERY POLKADOT GREEN,10164.790,2516,0.105523
211,22992,REVOLVER WOODEN RULER,10155.770,5133,0.10543
212,22569,FELTCRAFT CUSHION BUTTERFLY,10110.830,2759,0.104963
213,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10092.310,3124,0.104771
214,21791,VINTAGE HEADS AND TAILS CARD GAME,9994.160,7471,0.103752
215,22970,LONDON BUS COFFEE MUG,9914.070,4248,0.102921
216,23208,LUNCH BAG VINTAGE LEAF DESIGN,9877.780,5977,0.102544
217,21218,RED SPOTTY BISCUIT TIN,9836.410,2391,0.102114
218,22169,FAMILY ALBUM WHITE PICTURE FRAME,9830.810,1138,0.102056
219,23171,REGENCY TEA PLATE GREEN,9751.730,6093,0.101235
220,22690,DOORMAT HOME SWEET HOME BLUE,9724.400,1591,0.100952
221,21891,TRADITIONAL WOODEN SKIPPING ROPE,9723.260,7561,0.10094
222,20679,EDWARDIAN PARASOL RED,9689.690,1663,0.100591
223,21914,BLUE HARMONICA IN BOX,9686.650,7398,0.10056
224,22556,PLASTERS IN TIN CIRCUS PARADE,9679.100,5885,0.100481
225,22654,DELUXE SEWING KIT,9631.820,1379,0.099991
226,23076,ICE CREAM SUNDAE LIP GLOSS,9616.080,7828,0.099827
227,22766,PHOTO FRAME CORNICE,9593.060,3214,0.099588
228,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9589.720,3891,0.099554
229,22838,3 TIER CAKE TIN RED AND CREAM,9573.680,680,0.099387
230,22555,PLASTERS IN TIN STRONGMAN,9539.990,5838,0.099037
231,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,9515.740,8058,0.098786
232,22978,PANTRY ROLLING PIN,9497.760,2453,0.098599
233,22621,TRADITIONAL KNITTING NANCY,9451.570,5824,0.098119
234,23175,REGENCY MILK JUG PINK,9427.090,3125,0.097865
235,22844,VINTAGE CREAM DOG FOOD CONTAINER,9400.040,978,0.097584
236,22456,NATURAL SLATE CHALKBOARD LARGE,9310.840,1700,0.096658
237,21314,SMALL GLASS HEART TRINKET POT,9303.720,4020,0.096584
238,22791,T-LIGHT GLASS FLUTED ANTIQUE,9297.340,7480,0.096518
239,22561,WOODEN SCHOOL COLOURING SET,9252.750,5581,0.096055
240,21155,RED RETROSPOT PEG BAG,9101.180,3104,0.094482
241,22619,SET OF 6 SOLDIER SKITTLES,9096.050,2283,0.094429
242,84991,60 TEATIME FAIRY CAKE CASES,9084.670,18053,0.09431
243,22633,HAND WARMER UNION JACK,9079.140,4407,0.094253
244,85150,LADIES & GENTLEMEN METAL SIGN,9068.910,3925,0.094147
245,22729,ALARM CLOCK BAKELIKE ORANGE,9035.790,2319,0.093803
246,22759,SET OF 3 NOTEBOOKS IN PARCEL,9027.440,5435,0.093716
247,22952,60 CAKE CASES VINTAGE CHRISTMAS,9015.360,15306,0.093591
248,84375,SET OF 20 KIDS COOKIE CUTTERS,9000.950,4158,0.093441
249,22144,CHRISTMAS CRAFT LITTLE FRIENDS,8977.110,3799,0.093194
250,48116,DOORMAT MULTICOLOUR STRIPE,8867.500,1473,0.092056
251,20972,PINK CREAM FELT CRAFT TRINKET BOX,8852.330,7129,0.091898
252,22966,GINGERBREAD MAN COOKIE CUTTER,8834.440,7171,0.091713
253,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,8802.590,6462,0.091382
254,22989,SET 2 PANTRY DESIGN TEA TOWELS,8799.320,2766,0.091348
255,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8720.010,2233,0.090525
256,22947,WOODEN ADVENT CALENDAR RED,8714.240,746,0.090465
257,23319,"BOX OF 6 MINI 50'S CRACKERS",8699.440,3527,0.090311
258,35970,ZINC FOLKART SLEIGH BELLS,8680.910,4659,0.090119
259,23322,LARGE WHITE HEART OF WICKER,8648.660,2996,0.089784
260,21174,POTTERING IN THE SHED METAL SIGN,8648.340,3854,0.089781
261,22652,TRAVEL SEWING KIT,8612.070,5091,0.089404
262,22147,FELTCRAFT BUTTERFLY HEARTS,8573.290,6193,0.089002
263,23318,BOX OF 6 MINI VINTAGE CRACKERS,8547.660,3580,0.088736
264,23078,ICE CREAM PEN LIP GLOSS,8501.200,6798,0.088253
265,22560,TRADITIONAL MODELLING CLAY,8500.360,7190,0.088245
266,21889,WOODEN BOX OF DOMINOES,8425.890,6083,0.087471
267,82582,AREA PATROLLED METAL SIGN,8423.820,4158,0.08745
268,22632,HAND WARMER RED RETROSPOT,8418.560,4208,0.087395
269,21213,PACK OF 72 SKULL CAKE CASES,8330.890,15027,0.086485
270,71053,WHITE METAL LANTERN,8328.330,1927,0.086459
271,21210,SET OF 72 RETROSPOT PAPER  DOILIES,8265.650,5749,0.085808
272,84378,SET OF 3 HEART COOKIE CUTTERS,8218.140,6150,0.085315
273,21035,SET/2 RED RETROSPOT TEA TOWELS,8173.450,2477,0.084851
274,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8166.390,9849,0.084778
275,23256,CHILDRENS CUTLERY SPACEBOY,8164.750,1993,0.084761
276,23321,SMALL WHITE HEART OF WICKER,8143.210,4539,0.084537
277,22655,VINTAGE RED KITCHEN CABINET,8125.000,60,0.084348
278,72741,GRAND CHOCOLATECANDLE,8044.170,5856,0.083509
279,22795,SWEETHEART RECIPE BOOK STAND,8039.960,1144,0.083465
280,22804,CANDLEHOLDER PINK HANGING HEART,8006.150,3103,0.083114
281,23082,SET 6 PAPER TABLE LANTERN HEARTS,7921.240,2163,0.082233
282,21484,CHICK GREY HOT WATER BOTTLE,7897.780,1760,0.081989
283,22192,BLUE DINER WALL CLOCK,7892.530,921,0.081935
284,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,7865.340,5626,0.081652
285,21121,SET/10 RED POLKADOT PARTY CANDLES,7862.600,6497,0.081624
286,23439,HAND WARMER RED LOVE HEART,7852.270,3516,0.081517
287,22968,ROSE COTTAGE KEEPSAKE BOX,7812.060,792,0.081099
288,22768,FAMILY PHOTO FRAME CORNICE,7784.050,821,0.080808
289,23534,WALL ART STOP FOR TEA,7775.660,1286,0.080721
290,84970S,HANGING HEART ZINC T-LIGHT HOLDER,7762.620,8766,0.080586
291,22616,PACK OF 12 LONDON TISSUES,7760.610,25496,0.080565
292,22487,WHITE WOOD GARDEN PLANT LADDER,7751.670,768,0.080472
293,22352,LUNCH BOX WITH CUTLERY RETROSPOT,7731.560,3050,0.080263
294,21136,PAINTED METAL PEARS ASSORTED,7644.810,4606,0.079363
295,22725,ALARM CLOCK BAKELIKE CHOCOLATE,7611.540,1870,0.079017
296,22667,RECIPE BOX RETROSPOT,7587.900,2714,0.078772
297,48111,DOORMAT 3 SMILEY CATS,7581.350,1157,0.078704
298,23493,VINTAGE DOILY TRAVEL SEWING KIT,7558.480,3520,0.078467
299,23007,SPACEBOY BABY GIFT SET,7547.570,484,0.078353
300,22940,FELTCRAFT CHRISTMAS FAIRY,7523.720,1834,0.078106
301,84406B,CREAM CUPID HEARTS COAT HANGER,7516.220,1982,0.078028
302,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,7493.290,2375,0.07779
303,21770,OPEN CLOSED METAL SIGN,7473.750,1545,0.077587
304,21955,DOORMAT UNION JACK GUNS AND ROSES,7468.600,1214,0.077534
305,22557,PLASTERS IN TIN VINTAGE PAISLEY,7457.180,4546,0.077415
306,22991,GIRAFFE WOODEN RULER,7431.680,3806,0.07715
307,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,7408.320,8270,0.076908
308,21231,SWEETHEART CERAMIC TRINKET BOX,7402.080,5898,0.076843
309,22585,PACK OF 6 BIRDY GIFT TAGS,7398.490,6116,0.076806
310,21668,RED STRIPE CERAMIC DRAWER KNOB,7397.010,5455,0.07679
311,84836,ZINC METAL HEART DECORATION,7324.560,5868,0.076038
312,22381,TOY TIDY PINK POLKADOT,7274.310,3372,0.075517
313,23204,CHARLOTTE BAG APPLES DESIGN,7257.730,7610,0.075344
314,21908,CHOCOLATE THIS WAY METAL SIGN,7254.650,3541,0.075313
315,22750,FELTCRAFT PRINCESS LOLA DOLL,7225.740,1934,0.075012
316,22627,MINT KITCHEN SCALES,7208.130,817,0.07483
317,22367,CHILDRENS APRON SPACEBOY DESIGN,7186.120,3616,0.074601
318,23238,SET OF 4 KNICK KNACK TINS LONDON,7137.740,1690,0.074099
319,22950,36 DOILIES VINTAGE CHRISTMAS,7131.550,5209,0.074035
320,22637,PIGGY BANK RETROSPOT,7111.180,2760,0.073823
321,22413,METAL SIGN TAKE IT OR LEAVE IT,7099.240,2324,0.073699
322,22741,FUNKY DIVA PEN,7075.050,8232,0.073448
323,84949,SILVER HANGING T-LIGHT HOLDER,7059.890,4418,0.073291
324,22631,CIRCUS PARADE LUNCH BOX,7031.640,3605,0.072997
325,21669,BLUE STRIPE CERAMIC DRAWER KNOB,7017.760,5209,0.072853
326,22333,RETROSPOT PARTY BAG + STICKER SET,7009.290,4471,0.072765
327,21258,VICTORIAN SEWING BOX LARGE,6998.270,488,0.072651
328,20969,RED FLORAL FELTCRAFT SHOULDER BAG,6971.240,1905,0.07237
329,23236,STORAGE TIN VINTAGE DOILY,6961.650,2465,0.072271
330,22505,MEMO BOARD COTTAGE DESIGN,6941.370,1434,0.07206
331,22946,WOODEN ADVENT CALENDAR CREAM,6929.470,446,0.071937
332,22767,TRIPLE PHOTO FRAME CORNICE,6924.800,749,0.071888
333,22485,SET OF 2 WOODEN MARKET CRATES,6902.050,500,0.071652
334,22663,JUMBO BAG DOLLY GIRL DESIGN,6889.200,3349,0.071519
335,22834,HAND WARMER BABUSHKA DESIGN,6881.930,4842,0.071443
336,21094,SET/6 RED SPOTTY PAPER PLATES,6881.320,8696,0.071437
337,85014A,BLACK/BLUE POLKADOT UMBRELLA,6873.730,1177,0.071358
338,21169,"YOU'RE CONFUSING ME METAL SIGN",6873.590,4159,0.071357
339,84030E,ENGLISH ROSE HOT WATER BOTTLE,6865.370,1513,0.071271
340,22634,CHILDS BREAKFAST SET SPACEBOY,6864.390,733,0.071261
341,22839,3 TIER CAKE TIN GREEN AND CREAM,6864.340,440,0.071261
342,21922,UNION STRIPE WITH FRINGE  HAMMOCK,6854.720,890,0.071161
343,22553,PLASTERS IN TIN SKULLS,6831.980,4076,0.070925
344,75049L,LARGE CIRCULAR MIRROR MOBILE,6802.980,7094,0.070624
345,23297,SET 40 HEART SHAPE PETIT FOUR CASES,6792.230,4303,0.070512
346,21877,HOME SWEET HOME MUG,6790.970,5334,0.070499
347,22840,ROUND CAKE TIN VINTAGE RED,6784.870,901,0.070436
348,21259,VICTORIAN SEWING BOX SMALL,6758.490,1132,0.070162
349,23254,CHILDRENS CUTLERY DOLLY GIRL,6757.870,1669,0.070155
350,23080,RED METAL BOX TOP SECRET,6737.750,791,0.069946
351,22179,SET 10 NIGHT OWL LIGHTS,6728.380,902,0.069849
352,21165,BEWARE OF THE CAT METAL SIGN,6700.680,4024,0.069562
353,23541,WALL ART CLASSIC PUDDINGS,6699.210,864,0.069546
354,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,6686.720,1024,0.069417
355,22294,HEART FILIGREE DOVE  SMALL,6665.360,5352,0.069195
356,23215,JINGLE BELL HEART ANTIQUE SILVER,6662.220,3393,0.069162
357,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6645.060,4926,0.068984
358,23008,DOLLY GIRL BABY GIFT SET,6642.550,427,0.068958
359,21888,BINGO SET,6640.870,1685,0.068941
360,22668,PINK BABY BUNTING,6633.940,2166,0.068869
361,23083,SET 6 PAPER TABLE LANTERN STARS,6629.000,1782,0.068817
362,84988,SET OF 72 PINK HEART PAPER DOILIES,6622.200,4287,0.068747
363,23283,DOORMAT VINTAGE LEAF,6601.330,947,0.06853
