normalized_stock_code,Description,row_count,first_seen,last_seen,description_count,frequency_rank
20725,LUNCH BAG RED SPOTTY,1,2011-01-14 14:11:00,2011-01-14 14:11:00,2,2
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,892,2010-12-01 11:32:00,2011-12-09 10:03:00,2,1
20914,SET/5 RED SPOTTY LID GLASS BOWLS,1,2011-01-14 14:11:00,2011-01-14 14:11:00,2,2
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,108,2010-12-13 15:44:00,2011-12-09 11:26:00,2,1
21109,"LARGE CAKE TOWEL, CHOCOLATE SPOTS",8,2010-12-01 17:06:00,2010-12-13 13:25:00,2,2
21112,"SWISS ROLL TOWEL, PINK  SPOTS",43,2010-12-03 11:36:00,2011-01-25 10:56:00,2,1
21112,SWISS ROLL TOWEL PINK  SPOTS,39,2011-01-20 18:01:00,2011-12-05 11:58:00,2,2
21175,GIN + TONIC DIET METAL SIGN,762,2010-12-01 09:41:00,2011-11-30 17:22:00,2,1
21175,GIN AND TONIC DIET METAL SIGN,50,2011-11-25 16:14:00,2011-12-09 10:03:00,2,2
21232,STRAWBERRY CERAMIC TRINKET BOX,710,2010-12-01 10:52:00,2011-12-01 11:18:00,2,1
21232,STRAWBERRY CERAMIC TRINKET POT,126,2011-10-24 17:09:00,2011-12-09 10:26:00,2,2
21243,PINK  POLKADOT PLATE,186,2010-12-01 11:49:00,2011-10-25 14:39:00,2,1
21243,PINK POLKADOT PLATE,25,2011-11-07 15:33:00,2011-12-08 16:30:00,2,2
21507,"ELEPHANT, BIRTHDAY CARD,",167,2010-12-01 14:32:00,2011-08-25 09:55:00,2,1
21507,ELEPHANT BIRTHDAY CARD,95,2011-08-28 13:35:00,2011-12-09 12:16:00,2,2
21811,HANGING HEART WITH BELL,227,2011-01-31 09:50:00,2011-11-23 12:45:00,2,1
21811,CHRISTMAS HANGING HEART WITH BELL,26,2010-12-01 11:45:00,2011-01-18 16:06:00,2,2
21818,GLITTER HEART DECORATION,154,2011-02-02 12:26:00,2011-12-07 16:56:00,2,1
21818,GLITTER CHRISTMAS HEART,24,2010-12-01 15:08:00,2011-01-17 17:54:00,2,2
21899,GARAGE KEY FOB,148,2011-06-29 15:58:00,2011-12-08 16:18:00,2,1
21899,"KEY FOB , GARAGE DESIGN",133,2010-12-01 17:06:00,2011-07-04 16:08:00,2,2
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,664,2011-02-21 18:15:00,2011-12-09 10:26:00,2,1
21928,JUMBO BAG SCANDINAVIAN PAISLEY,145,2010-12-01 14:11:00,2011-05-11 13:49:00,2,2
22129,PARTY CONES CANDY DECORATION,67,2011-08-30 12:02:00,2011-12-09 10:03:00,2,1
22129,PARTY CONES CANDY TREE DECORATION,33,2010-12-05 13:42:00,2011-08-10 12:35:00,2,2
22134,MINI LADLE LOVE HEART RED,154,2010-12-23 13:26:00,2011-12-09 10:03:00,2,1
22134,LADLE LOVE HEART RED,9,2010-12-01 14:32:00,2010-12-13 09:35:00,2,2
22135,MINI LADLE LOVE HEART PINK,166,2010-12-17 16:59:00,2011-12-09 10:03:00,2,1
22135,LADLE LOVE HEART PINK,13,2010-12-01 14:32:00,2010-12-21 15:19:00,2,2
22179,SET 10 NIGHT OWL LIGHTS,172,2011-05-17 15:35:00,2011-12-09 10:26:00,2,1
22179,SET 10 LIGHTS NIGHT OWL,120,2010-12-01 11:49:00,2011-05-13 10:02:00,2,2
22197,POPCORN HOLDER,825,2011-06-12 12:01:00,2011-12-09 12:19:00,2,1
22197,SMALL POPCORN HOLDER,593,2010-12-01 10:19:00,2011-09-19 10:10:00,2,2
22199,FRYING PAN RED RETROSPOT,166,2010-12-05 14:02:00,2011-12-09 11:20:00,2,1
22199,FRYING PAN RED POLKADOT,1,2011-01-14 14:11:00,2011-01-14 14:11:00,2,2
22246,MAGIC GARDEN FELT GARLAND,89,2010-12-01 17:06:00,2011-11-24 09:50:00,2,1
22246,"GARLAND, MAGIC GARDEN 1.8M",1,2010-12-03 14:04:00,2010-12-03 14:04:00,2,2
22268,DECORATION SITTING BUNNY,85,2011-05-29 11:34:00,2011-11-10 15:32:00,2,1
22268,EASTER DECORATION SITTING BUNNY,77,2011-01-05 11:30:00,2011-05-22 11:42:00,2,2
22285,HANGING HEN ON NEST DECORATION,117,2010-12-17 14:49:00,2011-12-05 17:24:00,2,1
22285,"DECORATION HEN ON NEST, HANGING",6,2010-12-02 11:41:00,2010-12-15 16:03:00,2,2
22286,DECORATION WOBBLY RABBIT METAL,67,2011-04-04 16:01:00,2011-12-01 12:01:00,2,1
